FID;NM_ESTADO;NM_REGIAO;CD_GEOCUF;x_cent;y_cent
0;ACRE;NORTE;12;-70.473282926799996;-9.212885649940000
1;ALAGOAS;NORDESTE;27;-36.624935682599997;-9.513863003219999
2;AMAPÁ;NORTE;16;-51.955829354700001;1.443341643560000
3;BAHIA;NORDESTE;29;-41.720857790700002;-12.475169035400000
4;CEARÁ;NORDESTE;23;-39.615694344399998;-5.093345341910000
5;DISTRITO FEDERAL;CENTRO-OESTE;53;-47.797360710699998;-15.780692372100001
6;ESPÍRITO SANTO;SUDESTE;32;-40.668528392500001;-19.575391296799999
7;GOIÁS;CENTRO-OESTE;52;-49.623613836799997;-16.042226540300000
8;MARANHÃO;NORDESTE;21;-45.279010339099997;-5.055817684240000
9;MATO GROSSO;CENTRO-OESTE;51;-55.912145116700003;-12.948967062500000
10;MATO GROSSO DO SUL;CENTRO-OESTE;50;-54.845625533000003;-20.327310172699999
11;MINAS GERAIS;SUDESTE;31;-44.673428803100002;-18.456186829200000
12;PARÁ;NORTE;15;-53.064056665800003;-3.974707720650000
13;PARAÍBA;NORDESTE;25;-36.832414165899998;-7.121041659930000
14;PERNAMBUCO;NORDESTE;26;-37.997468285300002;-8.325296926760000
15;PIAUÍ;NORDESTE;22;-42.968620480100000;-7.387529980730000
16;RIO DE JANEIRO;SUDESTE;33;-42.663077617200003;-22.196037146399998
17;RIO GRANDE DO NORTE;NORDESTE;24;-36.673476633999996;-5.839677099890000
18;RIO GRANDE DO SUL;SUL;43;-53.320285207399998;-29.705680835700001
19;RORAIMA;NORTE;14;-61.399278640500000;2.084226107890000
20;SANTA CATARINA;SUL;42;-50.474607638499997;-27.247364109500001
21;SÃO PAULO;SUDESTE;35;-48.728842537600002;-22.265817001500000
22;SERGIPE;NORDESTE;28;-37.443899838800000;-10.584474946700000
23;TOCANTINS;NORTE;17;-48.329230191299999;-10.150316285700001
24;PARANÁ;SUL;41;-51.616677647600000;-24.635898790399999
25;RONDÔNIA;NORTE;11;-62.841974889399999;-10.913217855699999
26;AMAZONAS;NORTE;13;-64.653141258100007;-4.154177496210000
