Author	n (strains)	publication title	journal	publication URL	strains
Weijun Chen et al	1	Genomic characterisation and epidemiology of 2019 novel coronavirus: implications for virus origins and receptor binding	unknown	https://dx.doi.org/10.1016/S0140-6736(20)30251-8	Wuhan/WH01/2019
Mak TM et al	7	unknown	unknown	unknown	Singapore/165/2020,Singapore/3Clin/2020,Singapore/506/2020,Singapore/865/2020,Singapore/236/2020,Singapore/699/2020,Singapore/906/2020
Tsuyoshi Sekizuka et al A	1	A genome epidemiological study of SARS-CoV-2 introduction into Japan	unknown	https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1	Japan/PG-0015/2020
Tsuyoshi Sekizuka et al B	32	unknown	unknown	unknown	Japan/KY-V-029/2020,Japan/NA-20-05-1/2020,Japan/TY-WK-501/2020,Japan/PG-12641/2020,Japan/PG-15546/2020,Japan/PG-20442/2021,Japan/PG-19204/2020,Japan/PG-13883/2020,Japan/PG-16251/2020,Japan/PG-13955/2020,Japan/PG-15712/2020,Japan/PG-15663/2020,Japan/PG-26411/2021,Japan/PG-14650/2020,Japan/PG-12828/2020,Japan/PG-2803/2020,Japan/PG-8494/2020,Japan/PG-22931/2021,Japan/PG-28761/2021,Japan/PG-21663/2021,Japan/PG-28564/2021,Japan/PG-28858/2021,Japan/PG-25224/2021,Japan/PG-28722/2021,Japan/PG-28182/2021,Japan/PG-3942/2020,Japan/PG-14443/2020,Japan/PG-14552/2020,Japan/PG-23383/2020,Japan/PG-26458/2020,Japan/PG-28610/2021,Japan/PG-26542/2021
Amirtharaj Francis et al	1	unknown	unknown	unknown	UnitedArabEmirates/skmc-0381517/2020
Bixing Huang et al	1	unknown	unknown	unknown	Australia/QLDID922/2020
Caly L. et al A	12	unknown	unknown	unknown	Australia/VIC15/2020,Australia/SA03/2020,Australia/VIC18091/2021,Australia/VIC18019/2020,Australia/VIC18066/2021,Australia/VIC468/2020,Australia/VIC18098/2021,Australia/VIC17996/2020,Australia/VIC18266/2021,Australia/VIC18354/2021,Australia/VIC18166/2021,Australia/VIC2357/2020
Chisha Sikazwe et al	1	unknown	unknown	unknown	Australia/WA34/2020
Lex Leong et al	24	unknown	unknown	unknown	Australia/SAP097/2020,Australia/SAP373/2020,Australia/SAP253/2020,Australia/SAP603/2021,Australia/SAP565/2020,Australia/SAP592/2020,Australia/SAP488/2020,Australia/SAP247/2020,Australia/SAP529/2020,Australia/SAP609/2021,Australia/SAP610/2021,Australia/SAP607/2021,Australia/SAP522/2020,Australia/SAP599/2020,Australia/SAP600/2020,Australia/SAP212/2020,Australia/SAP601/2020,Australia/SAP593/2020,Australia/SAP602/2020,Australia/SAP624/2021,Australia/SAP476/2020,Australia/SAP481/2020,Australia/SAP472/2020,Australia/SAP597/2020
Inbar Cohen-Gihon et al	1	Full genome viral sequences inform patterns of SARS-CoV-2 spread into and within Israel	unknown	https://dx.doi.org/10.1101/2020.05.21.20104521	Israel/ISR_JP0320/2020
Frilasita A Yudhaputri et al	3	unknown	unknown	unknown	Indonesia/JK-EIJK44/2020,Indonesia/JK-EIJK25/2020,Indonesia/BT-EIJK36/2020
Marselina Irasonia Tan et al	1	unknown	unknown	unknown	Indonesia/JB-TFRIC19-R46646/2020
Chen YYC et al	3	unknown	unknown	unknown	Singapore/473/2020,Singapore/1135/2020,Singapore/1307/2020
Daniel F Gudbjartsson et al A	2	Spread of SARS-CoV-2 in the Icelandic Population	unknown	https://dx.doi.org/10.1056/NEJMoa2006100	Iceland/13/2020,Iceland/572/2020
Paola Stefanelli et al	1	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	Italy/LAZ-INMI-SPL1/2020
Nato Kotaria et al	1	unknown	unknown	unknown	Georgia/Tb-54/2020
Oskar Karlsson Lindsjo et al	3	unknown	unknown	unknown	Sweden/20-02114/2020,Sweden/21-51258/2021,Sweden/20-50615/2020
Ji-Rong Yang et al A	1	Prolonged viral shedding and new mutations of COVID-19 could complicate the control of the pandemic	unknown	https://dx.doi.org/10.1099/acmi.0.000133	Taiwan/2/2020
Caly L. et al B	4	Tracking the COVID-19 pandemic in Australia using genomics	unknown	https://dx.doi.org/10.1101/2020.05.12.20099929	Australia/VIC02/2020,Australia/VIC07/2020,Australia/VIC1273/2020,Australia/VIC1108/2020
Cecilia Salazar et al A	2	Multiple introductions, regional spread and local differentiation during the first week of COVID-19 epidemic in Montevideo, Uruguay	unknown	https://dx.doi.org/10.1101/2020.05.09.086223	Uruguay/UY-10/2020,Uruguay/UY-8/2020
Son Nguyen et al	52	unknown	unknown	unknown	Australia/QLD1158/2020,Australia/QLD1095/2020,Australia/QLD1186/2020,Australia/QLD1340/2020,Australia/QLD1535/2021,Australia/QLD1525/2021,Australia/QLD1511/2021,Australia/QLD1478/2020,Australia/QLD1477/2020,Australia/QLD1491/2021,Australia/QLD1472/2020,Australia/QLD991/2020,Australia/QLD1147/2020,Australia/QLD1459/2020,Australia/QLD1748/2021,Australia/QLD1737/2021,Australia/QLD1773/2021,Australia/QLD1686/2021,Australia/QLD1613/2021,Australia/QLD1629/2021,Australia/QLD1550/2021,Australia/QLD1622/2021,Australia/QLD1621/2021,Australia/QLD1512/2021,Australia/QLD1336/2020,Australia/QLD1614/2021,Australia/QLD1615/2021,Australia/QLD1611/2021,Australia/QLD1500/2021,Australia/QLD1542/2021,Australia/QLD955/2020,Australia/QLD1284/2020,Australia/QLD1462/2020,Australia/QLD1470/2020,Australia/QLD1096/2020,Australia/QLD1728/2021,Australia/QLD1551/2021,Australia/QLD1507/2021,Australia/QLD1496/2021,Australia/QLD1545/2021,Australia/QLD1548/2021,Australia/QLD1499/2021,Australia/QLD1623/2021,Australia/QLD1617/2021,Australia/QLD1631/2021,Australia/QLD1510/2021,Australia/QLD1267/2020,Australia/QLD958/2020,Australia/QLD1046/2020,Australia/QLD1044/2020,Australia/QLD1138/2020,Australia/QLD1231/2020
Soares da Silva et al	2	unknown	unknown	unknown	Timor-Leste/TL25/2020,Timor-Leste/TL17/2020
